transaction_amount,transaction_hour,account_age_days,new_device,location_mismatch,failed_attempts,transactions_last_10min,transactions_last_24h,previous_avg_amount,international_transaction,is_fraud
12592.91,5,187,1,1,5,3,8,1711.1,1,1
1663.58,8,779,0,0,2,0,3,2274.85,0,0
2378.29,17,796,0,0,0,2,5,1370.37,0,0
2140.06,22,450,0,0,0,0,6,2464.14,0,0
6269.71,1,150,1,1,3,5,10,2279.15,0,1
8987.01,1,178,1,1,5,2,5,1747.02,1,1
9706.12,14,110,1,1,5,3,4,2133.83,1,1
1660.34,11,777,0,0,2,1,4,1366.66,0,0
15881.39,0,17,1,1,1,2,8,1822.35,1,1
1861.27,16,139,0,0,1,0,2,1521.13,0,0
1179.28,15,583,0,0,0,1,2,1334.54,0,0
2393.41,8,288,0,0,0,0,4,1479.32,0,0
13580.17,14,74,1,0,5,2,10,1483.34,1,1
5173.5,2,199,1,1,2,4,8,1808.77,1,1
3297.71,1,49,1,1,4,3,4,1385.26,0,1
1621.1,18,712,0,0,0,0,2,1098.93,0,0
12955.64,0,16,0,1,5,3,3,1383.71,1,1
8187.95,19,185,1,0,5,4,11,2191.0,1,1
2038.06,15,222,0,0,0,0,3,1031.24,0,0
1383.96,10,1047,0,1,0,1,5,1928.68,0,0
3203.6,15,606,0,0,2,2,0,1092.76,0,0
1090.4,22,1222,0,0,0,0,4,3029.05,0,0
15531.21,2,33,1,1,4,2,8,1332.54,1,1
4864.13,6,155,1,1,5,1,13,2983.48,0,1
3717.12,12,599,0,1,1,1,5,2240.85,0,0
20677.84,3,189,0,1,3,2,7,1943.33,1,1
4825.28,4,241,1,1,2,2,6,1984.15,1,1
3054.75,4,239,1,1,2,4,8,1029.0,1,1
4479.76,5,248,1,1,2,4,9,1216.91,1,1
1647.31,19,147,0,0,0,0,4,1676.85,0,0
3479.01,16,471,0,0,1,1,5,1601.92,0,0
5699.76,0,96,1,1,5,1,8,1566.41,1,1
2630.43,18,130,1,1,2,2,3,1647.92,1,1
7945.93,23,223,1,1,3,2,6,1645.41,0,1
2946.52,0,18,1,1,3,2,11,1517.24,0,1
7778.58,4,6,1,0,4,1,10,1233.4,1,1
9751.86,18,72,1,1,4,5,8,1262.66,1,1
5560.8,14,139,0,0,0,0,8,1738.51,1,0
8089.08,7,214,1,1,4,0,13,1540.86,1,1
7374.93,4,72,1,1,5,7,3,1576.82,0,1
2974.95,2,95,0,1,1,3,4,1478.95,1,1
